TECH,WEO2022_Tech,WEO2021_Tech,included in plexos model?
Battery,Battery,Battery,
Nuclear,Nuclear Existing,Nuclear 1,
Nuclear,Nuclear New,NEW Nuclear,
Coal,Coal Subcritical Lignite,Coal Subcritical 2,
Coal,Coal Subcritical Lignite Refurbishment,Refurbishment Coal Subcritical Lignite,
Coal,Coal Subcritical Lignite with NH3 Retrofit,Coal Subcritical Lignite with NH3 Retrofit,N
Coal,Coal Supercritical Lignite,Coal Supercritical 2,
Coal,Coal Supercritical Lignite Refurbishment,Refurbishment Coal Supercritical Lignite,
Coal,Coal Supercritical Lignite with NH3 Retrofit,Coal Supercritical Lignite with NH3 Retrofit,N
Coal,Coal Ultrasupercritical Lignite,Coal Ultrasupercritical 2,
Coal,Coal Ultrasupercritical Lignite Refurbishment,Refurbishment Coal Supercritical Lignite,
Coal,Coal Ultrasupercritical Lignite with NH3 Retrofit,Coal Ultrasupercritical Lignite with NH3 Retrofit,N
Coal,Coal Lignite New,NEW Coal Lignite,
Coal,Coal Lignite New with NH3 Retrofit,Coal Lignite New with NH3 Retrofit,N
Coal,Coal Subcritical Steam,Coal Subcritical 5,
Coal,Coal Subcritical Steam Refurbishment,Refurbishment Coal Subcritical Steam,
Coal,Coal Subcritical Steam with NH3 Retrofit,Coal Subcritical Steam with NH3 Retrofit,N
Coal,Coal Subcritical New,NEW Coal Subcritical,
Coal,Coal Subcritical New with NH3 Retrofit,Coal Subcritical New with NH3 Retrofit,N
Coal,Coal Supercritical Steam,Coal Supercritical 5,
Coal,Coal Supercritical Steam Refurbishment,Refurbishment Coal Supercritical Steam,
Coal,Coal Supercritical Steam with NH3 Retrofit,Coal Supercritical Steam with NH3 Retrofit,N
Coal,Coal Supercritical New,NEW Coal Supercritical,
Coal,Coal Supercritical New with NH3 Retrofit,Coal Supercritical New with NH3 Retrofit,N
Coal,Coal Ultrasupercritical Steam,Coal Ultrasupercritical 5,
Coal,Coal Ultrasupercritical Steam Refurbishment,Coal Ultrasupercritical 5,
Coal,Coal Ultrasupercritical Steam with NH3 Retrofit,Coal Ultrasupercritical Steam with NH3 Retrofit,N
Coal,Coal Ultrasupercritical New,NEW Coal Ultrasupercritical,
Coal,Coal Ultrasupercritical New with NH3 Retrofit,Coal Ultrasupercritical New with NH3 Retrofit,N
Coal,Coal IGCC,Coal IGCC 3,
Coal,Coal IGCC Refurbishment,Coal IGCC 5,
Coal,Coal IGCC with NH3 Retrofit,Coal IGCC with NH3 Retrofit,N
Coal,Coal IGCC New,NEW Coal IGCC,
Coal,Coal IGCC New with NH3 Retrofit,Coal IGCC New with NH3 Retrofit,N
Coal,Coal with CCS,NEW CCS Coal Retrofit,
Coal,Coal Existing with CCS Retrofit,NEW CCS Coal Retrofit,
Coal,Coal with CCS New,NEW CCS Coal,
Coal,Coal New with CCS Retrofit,NEW CCS Coal Retrofit,
Coal,Coal Oxyfuel with CCS,NEW CCS Coal Oxyfuel,
Coal,Coal Oxyfuel with CCS New,NEW CCS Coal Oxyfuel,
Coal,Coal IGCC with CCS,CCS IGCC 1,
Coal,Coal IGCC Existing with CCS Retrofit,NEW CCS Coal IGCC Retrofit,
Coal,Coal IGCC with CCS New,NEW CCS Coal IGCC,
Coal,Coal IGCC New with CCS Retrofit,NEW CCS Coal IGCC Retrofit,
