PLEXOS technology,WEO_tech,Object_type,Operating_class,Mapping to NREL cost data,Mapping to DEA data,Fuel,Cofiring1,Cofiring2,PerformanceVar,CHPtypeETP,CCStype,FUELsub,FUELsimp,VRE,InertiaLOW,InertiaHI,StorageDuration,Category,CategorySub,StackCategory,FUELgas,FDtech,Fuel4,Fuel5,VRE2,VRE3,CategoryWEO,FlexCategory,CapacityCategory,QuickStart,Type,ScaleCat,VREsepcats,ScaleCatCHP,ScaleCat2,CategoryCapacity,RegSplitCat,merge
Battery_distributed,Battery4H,Battery,Battery,Battery,Batteries,,,,1,nonCHP,Battery,Battery,Battery,Battery,0,0,4,Battery,Battery_distributed,Storage,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,No,Distributed,Battery,Battery,Battery,Battery,Battery,Battery,1
Battery_utility_1h,Battery1HR,Battery,Battery,Battery,Batteries,,,,1,nonCHP,Battery,Battery,Battery,Battery,0,0,1,Battery,Battery_utility,Storage,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,No,Utility,Battery,Battery,Battery,Battery,Battery,Battery,1
Battery_utility_2h,Battery2HR,Battery,Battery,Battery,Batteries,,,,1,nonCHP,Battery,Battery,Battery,Battery,0,0,2,Battery,Battery_utility,Storage,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,No,Utility,Battery,Battery,Battery,Battery,Battery,Battery,1
Battery_utility_4h,Battery4HR,Battery,Battery,Battery,Batteries,,,,1,nonCHP,Battery,Battery,Battery,Battery,0,0,4,Battery,Battery_utility,Storage,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,No,Utility,Battery,Battery,Battery,Battery,Battery,Battery,1
Battery_utility_8h,Battery8HR,Battery,Battery,Battery,Batteries,,,,1,nonCHP,Battery,Battery,Battery,Battery,0,0,8,Battery,Battery_utility,Storage,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,Battery,No,Utility,Battery,Battery,Battery,Battery,Battery,Battery,1
Biogases,Biogases,Generator,OCGT,Biomass,OCGT,Biogas,,,1,nonCHP,Bioenergy,Biomass,Biomass,Non-VRE,2,4,,Bioenergy,Bioenergy,Bioenergy,Biomass,None,RES,Other,Non-VRE,Non-VRE,Bioenergy,Dispatchable,Bioenergy,No,Dispatchable,Hydro_plus,Hydro_plus,Hydro_plus,Hydro_plus,Bioenergy,Biogases,1
Biomass_CHP_Medium,Biomass CHP Medium,Generator,CHP Other,Biomass,CHP Other,Biomass,,,1,DH,Bioenergy,Biomass,Biomass,Non-VRE,2,4,,Bioenergy,Bioenergy,Bioenergy,Biomass,None,RES,Other,Non-VRE,Non-VRE,Bioenergy,Constrained,Bioenergy,No,Constrained,Hydro_plus,Hydro_plus,Hydro_plus,Hydro_plus,Bioenergy,Biomass CHP Medium,1
Biomass_CHP_Small,Biomass CHP Small,Generator,CHP Other,Biomass,CHP Other,Biomass,,,1,Industrial,Bioenergy,Biomass,Biomass,Non-VRE,2,4,,Bioenergy,Bioenergy,Bioenergy,Biomass,None,RES,Other,Non-VRE,Non-VRE,Bioenergy,Constrained,Bioenergy,No,Constrained,Hydro_plus,Hydro_plus,Hydro_plus,Hydro_plus,Bioenergy,Biomass CHP Small,1
Biomass_IGCC_with_CCS,Biomass IGCC with CCS,Generator,IGCC,Biomass,CCS - IGCC,Biomass,,,1,nonCHP,Bioenergy CCS,Biomass,Biomass,Non-VRE,2,4,,Bioenergy,Bioenergy,Bioenergy,Biomass,None,RES,Other,Non-VRE,Non-VRE,Bioenergy,Dispatchable,Bioenergy,No,Dispatchable,Hydro_plus,Hydro_plus,Hydro_plus,Hydro_plus,Bioenergy,Biomass IGCC with CCS,1
Biomass_Power_Plant,Biomass Power Plant,Generator,Biomass dispatchable,Biomass,Biomass power plant (small),Biomass,,,1,nonCHP,Bioenergy,Biomass,Biomass,Non-VRE,2,4,,Bioenergy,Bioenergy,Bioenergy,Biomass,None,RES,Other,Non-VRE,Non-VRE,Bioenergy,Dispatchable,Bioenergy,No,Dispatchable,Hydro_plus,Hydro_plus,Hydro_plus,Hydro_plus,Bioenergy,Biomass Power Plant,1
Coal_CCS,NEW CCS Coal,Generator,CCGT,CCGT,CCS - CCGT,Gas,,,1,nonCHP,Gas CCS,Gas-CCGT,Gas,Non-VRE,4,6,,Gas,Gas,Gas,CCGT,Thermal,Thermal,Gas,Non-VRE,Non-VRE,Gas_CCGT,Dispatchable,Gas_CCGT,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Gas,CCS CCGT 1,1
Coal_CHP,CHP Coal,Generator,CHP Coal,Coal,CHP Coal,Bituminous coal,,,1,DH,Coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_IGCC,Dispatchable,Coal_IGCC,No,Dispatchable,Fossil,Fossil,Fossil_CHP,Fossil_plus,Fossil_CHP,CHP Coal,1
Coal_IGCC,Coal IGCC 1,Generator,IGCC,IGCC,CCS - IGCC,Bituminous coal,,,1,nonCHP,Coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_IGCC,Dispatchable,Coal_IGCC,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,Coal IGCC 1,1
Coal_IGCC_CCS,CCS IGCC 1,Generator,IGCC,IGCC CCS,CCS - IGCC,Bituminous coal,,,1,nonCHP,Coal CCS,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_IGCC,Dispatchable,Coal_IGCC,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,CCS IGCC 1,1
Coal_Oxyfuel_CCS,CCS Oxyfuel 1,Generator,Coal supercritical,Coal CCS,CCS - Supercritical coal,Bituminous coal,,,1,nonCHP,Coal CCS,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_Supercritical,Dispatchable,Coal_Supercritical,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,CCS Oxyfuel 1,1
Coal_Subcritical_Hard,Coal Subcritical 3,Generator,Coal subcritical,Coal,Coal Subcritical,Bituminous coal,,,1,ex-CHP,Coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_Subcritical,Dispatchable,Coal_Subcritical,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,Coal Subcritical 3,1
Coal_Subcritical_Lignite,Coal Subcritical 1,Generator,Coal lignite,Lignite,Coal Subcritical,Lignite,,,1,nonCHP,Coal,Lignite,Lignite,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_Subcritical,Dispatchable,Coal_Subcritical,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,Coal Subcritical 1,1
Coal_Supercritical,Coal Supercritical 1,Generator,Coal supercritical,Coal,CCS - Supercritical coal,Bituminous coal,,,1,nonCHP,Coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_IGCC,Dispatchable,Coal_IGCC,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,Coal Supercritical 1,1
Coal_Ultrasupercritical,Coal Ultrasupercritical 1,Generator,Coal ultrasupercritical,Coal,Coal Ultra supercritical,Bituminous coal,,,1,nonCHP,Coal,Bituminous coal,Bituminous coal,Non-VRE,2,4,,Coal,Coal,Coal,Coal,Thermal,Thermal,Coal,Non-VRE,Non-VRE,Coal_Supercritical,Dispatchable,Coal_Supercritical,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Coal,Coal Ultrasupercritical 1,1
Fuel_cell,Fuel Cell 1,Generator,OCGT,OCGT,OCGT,Gas,,,1,nonCHP,Fuel Cell,Fuel Cell,Fuel Cell,Non-VRE,2,4,,Gas,Gas,Fuel Cell,Fuel Cell,Thermal,RES,Other,VRE,VRE,Fuel_cell,Dispatchable,Fuel_cell,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Fuel Cell,Fuel Cell 1,1
Gas_CCGT,Gas CCGT 1,Generator,CCGT,CCGT,CCS - CCGT,Gas,,,1,nonCHP,Gas,Gas-CCGT,Gas,Non-VRE,4,6,,Gas,Gas,Gas,CCGT,Thermal,Thermal,Gas,Non-VRE,Non-VRE,Gas_CCGT,Dispatchable,Gas_CCGT,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Gas,Gas CCGT 1,1
Gas_CCGT_CCS,NEW CCS Gas CCGT,Generator,CCGT,CCGT CCS,CCS - CCGT,Gas,,,1,nonCHP,Gas CCS,Gas-CCGT,Gas,Non-VRE,4,6,,Gas,Gas,Gas,CCGT,Thermal,Thermal,Gas,Non-VRE,Non-VRE,Gas_CCGT,Dispatchable,Gas_CCGT,No,Dispatchable,Fossil,Fossil,Fossil,Fossil_plus,Gas,NEW CCS Gas CCGT,1
