Collection,Parent Object,Child Object,Property,Value,Data File,Units,Band,Date From,Date To,Timeslice,Action,Expression,Scenario,Memo,Category,Tech_simple
Generators,System,NEW_Nuclear_BAL,Unit Commitment Optimality,Linear,,-,1,,,,=,,LinearRelaxation,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Units,0,Units,-,1,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Max Capacity,0,MaxCapacity,MW,1,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Min Stable Level,0,MinStableLevel,MW,1,,,,=,,MinStableLevels,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Min Stable Level,0,MinStableLevelFlex,MW,1,,,,=,,FlexibleMSL,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Heat Rate,0,HeatRate,GJ/MWh,1,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,VO&M Charge,0,VOMCharge,$/MWh,1,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,FO&M Charge,0,FOMCharge,$/kW/yr,1,,,,=,,FOM_Charge,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Start Cost,0,StartCost,$,1,,,,=,,StartCostsSingle,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Start Cost,0,StartCost,$,3,,,,=,,StartCostsThreeband,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Start Cost Time,0,StartCostTime,h,3,,,,=,,StartCostsThreeband,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Run Up Rate,0,RunUpRate,MW/min,3,,,,=,,RunUpRates,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Rating Factor,100,DeratedMaintenance,%,1,,,,=,,Derated_maintenance,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Min Up Time,0,MinUpTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Min Down Time,0,MinDownTime,h,1,,,,=,,MinUpAndDownTime,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Max Ramp Up,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Max Ramp Up,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Ramp Up Charge,0,RampUpCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Max Ramp Down,0,MaxRamp,MW/min,1,,,,=,,RampRates,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Max Ramp Down,0,MaxRampFlex,MW/min,1,,,,=,,FlexibleRR,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Ramp Down Charge,0,RampDownCharge,$/MW,1,,,,=,,RampCharges,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Aux Incr,0,AuxLosses,%,1,,,,=,,AuxLosses,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Forced Outage Rate,0,ForcedOutageRate,%,1,,,,=,,ForcedOutages,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Forced Outage Rate,0,ForcedOutageRate,%,2,,,,=,,ForcedOutages,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Maintenance Rate,0,MaintenanceRate,%,3,,,,=,,Maintenance,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Outage Rating,0,OutageRating,MW,2,,,,=,,ForcedOutages,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,1,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,2,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Mean Time to Repair,24,MeanTimetoRepair,h,3,,,,=,,,,Agg_BAL,Nuclear
Generators,System,NEW_Nuclear_BAL,Build Cost,0,ExpCost,$/kW,1,,,,=,,ExpCost,,Agg_BAL,Nuclear
