Year,Month,Day,Period,1
2030,1,1,1,17791
2030,1,1,2,17352
2030,1,1,3,17054
2030,1,1,4,16767
2030,1,1,5,16450
2030,1,1,6,16216
2030,1,1,7,16055
2030,1,1,8,16127
2030,1,1,9,16436
2030,1,1,10,16664
2030,1,1,11,16807
2030,1,1,12,17312
2030,1,1,13,17770
2030,1,1,14,18009
2030,1,1,15,18198
2030,1,1,16,18087
2030,1,1,17,18130
2030,1,1,18,18161
2030,1,1,19,18227
2030,1,1,20,18761
2030,1,1,21,18857
2030,1,1,22,18626
2030,1,1,23,18447
2030,1,1,24,18346
2030,1,2,1,18022
2030,1,2,2,17536
2030,1,2,3,17238
2030,1,2,4,16820
2030,1,2,5,16545
2030,1,2,6,16279
2030,1,2,7,16275
2030,1,2,8,16399
2030,1,2,9,16748
2030,1,2,10,17350
2030,1,2,11,17904
2030,1,2,12,18920
2030,1,2,13,19431
2030,1,2,14,19539
2030,1,2,15,19341
2030,1,2,16,19391
2030,1,2,17,19400
2030,1,2,18,19325
2030,1,2,19,19541
2030,1,2,20,19706
2030,1,2,21,19634
2030,1,2,22,19464
2030,1,2,23,19212
2030,1,2,24,18980
2030,1,3,1,18566
2030,1,3,2,17948
2030,1,3,3,17484
2030,1,3,4,17037
2030,1,3,5,16714
2030,1,3,6,16542
2030,1,3,7,16513
2030,1,3,8,16660
2030,1,3,9,17068
2030,1,3,10,17493
2030,1,3,11,18032
2030,1,3,12,18863
2030,1,3,13,19318
2030,1,3,14,19369
2030,1,3,15,19496
2030,1,3,16,19490
2030,1,3,17,19498
2030,1,3,18,19505
2030,1,3,19,19722
2030,1,3,20,19974
2030,1,3,21,19873
2030,1,3,22,19781
2030,1,3,23,19583
2030,1,3,24,19355
2030,1,4,1,18969
2030,1,4,2,18287
2030,1,4,3,17686
2030,1,4,4,17184
2030,1,4,5,16841
2030,1,4,6,16744
2030,1,4,7,16559
2030,1,4,8,16644
2030,1,4,9,17047
2030,1,4,10,17563
2030,1,4,11,18075
2030,1,4,12,18895
2030,1,4,13,19187
2030,1,4,14,19232
2030,1,4,15,19161
2030,1,4,16,19157
2030,1,4,17,19165
2030,1,4,18,19299
2030,1,4,19,19430
2030,1,4,20,19728
2030,1,4,21,19498
2030,1,4,22,18829
2030,1,4,23,18378
2030,1,4,24,18130
2030,1,5,1,17841
2030,1,5,2,17505
2030,1,5,3,17231
2030,1,5,4,16862
2030,1,5,5,16474
2030,1,5,6,16250
2030,1,5,7,16322
2030,1,5,8,16310
2030,1,5,9,16482
2030,1,5,10,16591
2030,1,5,11,16620
2030,1,5,12,17064
2030,1,5,13,17427
2030,1,5,14,17687
2030,1,5,15,17693
2030,1,5,16,17616
2030,1,5,17,17462
2030,1,5,18,17497
2030,1,5,19,17593
2030,1,5,20,17956
2030,1,5,21,17975
2030,1,5,22,17831
2030,1,5,23,17740
2030,1,5,24,17730
2030,1,6,1,17569
2030,1,6,2,17247
2030,1,6,3,17078
2030,1,6,4,16642
2030,1,6,5,16184
2030,1,6,6,16060
2030,1,6,7,15878
2030,1,6,8,15997
2030,1,6,9,16234
2030,1,6,10,16591
2030,1,6,11,16904
2030,1,6,12,17373
2030,1,6,13,17737
2030,1,6,14,17946
2030,1,6,15,18028
2030,1,6,16,18008
2030,1,6,17,17998
2030,1,6,18,18013
2030,1,6,19,18147
2030,1,6,20,18573
2030,1,6,21,18641
2030,1,6,22,18425
2030,1,6,23,18164
