Year,Month,Day,Period,1
2030,1,1,1,19651
2030,1,1,2,19167
2030,1,1,3,18838
2030,1,1,4,18521
2030,1,1,5,18170
2030,1,1,6,17912
2030,1,1,7,17734
2030,1,1,8,17814
2030,1,1,9,18155
2030,1,1,10,18407
2030,1,1,11,18564
2030,1,1,12,19122
2030,1,1,13,19628
2030,1,1,14,19893
2030,1,1,15,20101
2030,1,1,16,19979
2030,1,1,17,20026
2030,1,1,18,20060
2030,1,1,19,20133
2030,1,1,20,20723
2030,1,1,21,20829
2030,1,1,22,20575
2030,1,1,23,20377
2030,1,1,24,20264
2030,1,2,1,19907
2030,1,2,2,19370
2030,1,2,3,19041
2030,1,2,4,18579
2030,1,2,5,18275
2030,1,2,6,17982
2030,1,2,7,17977
2030,1,2,8,18114
2030,1,2,9,18500
2030,1,2,10,19165
2030,1,2,11,19776
2030,1,2,12,20899
2030,1,2,13,21463
2030,1,2,14,21583
2030,1,2,15,21364
2030,1,2,16,21419
2030,1,2,17,21429
2030,1,2,18,21346
2030,1,2,19,21584
2030,1,2,20,21767
2030,1,2,21,21688
2030,1,2,22,21500
2030,1,2,23,21221
2030,1,2,24,20965
2030,1,3,1,20508
2030,1,3,2,19825
2030,1,3,3,19313
2030,1,3,4,18819
2030,1,3,5,18462
2030,1,3,6,18272
2030,1,3,7,18240
2030,1,3,8,18402
2030,1,3,9,18853
2030,1,3,10,19322
2030,1,3,11,19918
2030,1,3,12,20835
2030,1,3,13,21338
2030,1,3,14,21394
2030,1,3,15,21535
2030,1,3,16,21529
2030,1,3,17,21538
2030,1,3,18,21545
2030,1,3,19,21784
2030,1,3,20,22062
2030,1,3,21,21951
2030,1,3,22,21849
2030,1,3,23,21631
2030,1,3,24,21380
2030,1,4,1,20952
2030,1,4,2,20200
2030,1,4,3,19536
2030,1,4,4,18981
2030,1,4,5,18602
2030,1,4,6,18495
2030,1,4,7,18291
2030,1,4,8,18385
2030,1,4,9,18830
2030,1,4,10,19400
2030,1,4,11,19965
2030,1,4,12,20871
2030,1,4,13,21194
2030,1,4,14,21243
2030,1,4,15,21165
2030,1,4,16,21160
2030,1,4,17,21169
2030,1,4,18,21317
2030,1,4,19,21462
2030,1,4,20,21792
2030,1,4,21,21537
2030,1,4,22,20798
2030,1,4,23,20300
2030,1,4,24,20026
2030,1,5,1,19707
2030,1,5,2,19336
2030,1,5,3,19033
2030,1,5,4,18626
2030,1,5,5,18197
2030,1,5,6,17949
2030,1,5,7,18029
2030,1,5,8,18016
2030,1,5,9,18206
2030,1,5,10,18326
2030,1,5,11,18359
2030,1,5,12,18848
2030,1,5,13,19250
2030,1,5,14,19536
2030,1,5,15,19543
2030,1,5,16,19458
2030,1,5,17,19288
2030,1,5,18,19327
2030,1,5,19,19433
2030,1,5,20,19833
2030,1,5,21,19855
2030,1,5,22,19696
2030,1,5,23,19595
2030,1,5,24,19584
2030,1,6,1,19406
2030,1,6,2,19051
2030,1,6,3,18865
2030,1,6,4,18382
2030,1,6,5,17877
2030,1,6,6,17740
2030,1,6,7,17538
2030,1,6,8,17670
2030,1,6,9,17932
2030,1,6,10,18326
2030,1,6,11,18672
2030,1,6,12,19190
2030,1,6,13,19592
2030,1,6,14,19823
2030,1,6,15,19914
2030,1,6,16,19892
2030,1,6,17,19880
2030,1,6,18,19897
2030,1,6,19,20045
2030,1,6,20,20515
2030,1,6,21,20591
2030,1,6,22,20352
2030,1,6,23,20064
2030,1,6,24,20020
2030,1,7,1,19770
2030,1,7,2,19340
2030,1,7,3,19042
2030,1,7,4,18647
2030,1,7,5,18300
2030,1,7,6,18193
2030,1,7,7,18082
2030,1,7,8,18065
2030,1,7,9,18324
2030,1,7,10,18583
2030,1,7,11,18804
2030,1,7,12,19473
2030,1,7,13,19850
2030,1,7,14,19994
2030,1,7,15,19903
2030,1,7,16,19817
2030,1,7,17,19756
2030,1,7,18,19999
2030,1,7,19,20195
2030,1,7,20,20894
2030,1,7,21,20817
2030,1,7,22,20671
2030,1,7,23,20373
2030,1,7,24,20097
2030,1,8,1,19839
2030,1,8,2,19481
2030,1,8,3,19130
2030,1,8,4,18667
2030,1,8,5,18476
2030,1,8,6,18274
2030,1,8,7,18210
2030,1,8,8,18292
2030,1,8,9,18441
2030,1,8,10,18605
2030,1,8,11,18758
2030,1,8,12,19241
2030,1,8,13,19624
2030,1,8,14,19598
2030,1,8,15,19697
2030,1,8,16,19721
2030,1,8,17,19812
2030,1,8,18,19957
2030,1,8,19,20319
2030,1,8,20,20983
2030,1,8,21,21099
2030,1,8,22,20932
2030,1,8,23,20723
2030,1,8,24,20536
2030,1,9,1,20100
2030,1,9,2,19586
2030,1,9,3,19118
2030,1,9,4,18719
2030,1,9,5,18318
2030,1,9,6,18296
2030,1,9,7,18206
2030,1,9,8,18405
2030,1,9,9,18737
2030,1,9,10,19361
2030,1,9,11,20228
2030,1,9,12,21604
2030,1,9,13,21976
2030,1,9,14,22014
2030,1,9,15,21878
2030,1,9,16,21792
2030,1,9,17,21788
2030,1,9,18,21791
2030,1,9,19,21730
2030,1,9,20,21926
2030,1,9,21,22014
2030,1,9,22,21714
2030,1,9,23,21388
2030,1,9,24,21069
2030,1,10,1,20647
2030,1,10,2,20004
2030,1,10,3,19502
2030,1,10,4,18989
2030,1,10,5,18700
2030,1,10,6,18647
2030,1,10,7,18669
2030,1,10,8,18721
2030,1,10,9,19041
2030,1,10,10,19734
2030,1,10,11,20538
2030,1,10,12,21505
2030,1,10,13,21960
2030,1,10,14,21768
2030,1,10,15,21720
2030,1,10,16,21761
2030,1,10,17,21789
2030,1,10,18,22096
2030,1,10,19,21862
2030,1,10,20,22132
2030,1,10,21,22203
2030,1,10,22,22057
2030,1,10,23,21721
2030,1,10,24,21502
2030,1,11,1,20954
2030,1,11,2,20291
2030,1,11,3,19697
2030,1,11,4,19192
2030,1,11,5,18917
2030,1,11,6,18816
2030,1,11,7,18785
2030,1,11,8,18864
2030,1,11,9,19249
2030,1,11,10,19967
2030,1,11,11,20764
2030,1,11,12,21758
2030,1,11,13,22195
2030,1,11,14,22236
2030,1,11,15,22099
2030,1,11,16,22080
2030,1,11,17,22074
2030,1,11,18,22031
2030,1,11,19,22095
2030,1,11,20,22445
2030,1,11,21,22398
2030,1,11,22,22047
2030,1,11,23,21666
2030,1,11,24,21478
2030,1,12,1,20938
2030,1,12,2,20360
2030,1,12,3,19734
2030,1,12,4,19349
2030,1,12,5,18978
2030,1,12,6,18816
2030,1,12,7,18843
2030,1,12,8,18917
2030,1,12,9,19250
2030,1,12,10,20004
2030,1,12,11,20623
2030,1,12,12,21637
2030,1,12,13,21718
2030,1,12,14,21678
2030,1,12,15,21452
2030,1,12,16,21325
2030,1,12,17,21307
2030,1,12,18,21375
2030,1,12,19,21466
2030,1,12,20,21921
2030,1,12,21,22023
2030,1,12,22,21756
2030,1,12,23,21588
2030,1,12,24,21536
