Year,Month,Day,Period,1
2030,1,1,1,24083
2030,1,1,2,23490
2030,1,1,3,23086
2030,1,1,4,22697
2030,1,1,5,22268
2030,1,1,6,21951
2030,1,1,7,21733
2030,1,1,8,21831
2030,1,1,9,22249
2030,1,1,10,22558
2030,1,1,11,22751
2030,1,1,12,23435
2030,1,1,13,24055
2030,1,1,14,24379
2030,1,1,15,24635
2030,1,1,16,24485
2030,1,1,17,24542
2030,1,1,18,24584
2030,1,1,19,24673
2030,1,1,20,25396
2030,1,1,21,25527
2030,1,1,22,25214
2030,1,1,23,24972
2030,1,1,24,24834
2030,1,2,1,24397
2030,1,2,2,23738
2030,1,2,3,23335
2030,1,2,4,22769
2030,1,2,5,22396
2030,1,2,6,22037
2030,1,2,7,22031
2030,1,2,8,22199
2030,1,2,9,22671
2030,1,2,10,23487
2030,1,2,11,24236
2030,1,2,12,25612
2030,1,2,13,26303
2030,1,2,14,26450
2030,1,2,15,26181
2030,1,2,16,26250
2030,1,2,17,26262
2030,1,2,18,26159
2030,1,2,19,26452
2030,1,2,20,26676
2030,1,2,21,26579
2030,1,2,22,26348
2030,1,2,23,26007
2030,1,2,24,25693
2030,1,3,1,25133
2030,1,3,2,24296
2030,1,3,3,23668
2030,1,3,4,23062
2030,1,3,5,22625
2030,1,3,6,22393
2030,1,3,7,22353
2030,1,3,8,22552
2030,1,3,9,23105
2030,1,3,10,23680
2030,1,3,11,24409
2030,1,3,12,25534
2030,1,3,13,26150
2030,1,3,14,26219
2030,1,3,15,26391
2030,1,3,16,26384
2030,1,3,17,26395
2030,1,3,18,26404
2030,1,3,19,26697
2030,1,3,20,27038
2030,1,3,21,26902
2030,1,3,22,26777
2030,1,3,23,26509
2030,1,3,24,26201
2030,1,4,1,25677
2030,1,4,2,24755
2030,1,4,3,23942
2030,1,4,4,23262
2030,1,4,5,22798
2030,1,4,6,22666
2030,1,4,7,22416
2030,1,4,8,22531
2030,1,4,9,23076
2030,1,4,10,23774
2030,1,4,11,24467
2030,1,4,12,25577
2030,1,4,13,25973
2030,1,4,14,26034
2030,1,4,15,25938
2030,1,4,16,25932
2030,1,4,17,25943
2030,1,4,18,26124
2030,1,4,19,26301
2030,1,4,20,26706
2030,1,4,21,26394
2030,1,4,22,25489
2030,1,4,23,24878
2030,1,4,24,24542
2030,1,5,1,24151
2030,1,5,2,23697
2030,1,5,3,23325
2030,1,5,4,22826
2030,1,5,5,22301
2030,1,5,6,21997
2030,1,5,7,22094
2030,1,5,8,22079
2030,1,5,9,22312
2030,1,5,10,22459
2030,1,5,11,22499
2030,1,5,12,23099
2030,1,5,13,23591
2030,1,5,14,23942
2030,1,5,15,23950
2030,1,5,16,23846
2030,1,5,17,23637
2030,1,5,18,23685
2030,1,5,19,23815
2030,1,5,20,24306
2030,1,5,21,24332
2030,1,5,22,24138
2030,1,5,23,24014
2030,1,5,24,24001
2030,1,6,1,23783
2030,1,6,2,23347
2030,1,6,3,23119
2030,1,6,4,22527
2030,1,6,5,21908
2030,1,6,6,21741
2030,1,6,7,21493
2030,1,6,8,21655
2030,1,6,9,21976
2030,1,6,10,22459
2030,1,6,11,22883
2030,1,6,12,23518
2030,1,6,13,24010
