Year,Month,Day,Period,Value
2023,1,1,1,13981.13661
2023,1,1,2,13192.05815
2023,1,1,3,12368.15651
2023,1,1,4,12112.53955
2023,1,1,5,11544.99579
2023,1,1,6,11212.32328
2023,1,1,7,10896.6919
2023,1,1,8,10768.51296
2023,1,1,9,10802.59522
2023,1,1,10,10725.53967
2023,1,1,11,10692.93924
2023,1,1,12,11198.24582
2023,1,1,13,11587.96908
2023,1,1,14,11853.95891
2023,1,1,15,12086.60739
2023,1,1,16,12173.29489
2023,1,1,17,12136.98987
2023,1,1,18,12264.42789
2023,1,1,19,12471.14422
2023,1,1,20,13012.0149
2023,1,1,21,13122.41179
2023,1,1,22,12827.52613
2023,1,1,23,12895.69066
2023,1,1,24,12757.13885
2023,1,2,1,12531.15864
2023,1,2,2,12059.93432
2023,1,2,3,11668.72922
2023,1,2,4,11170.83183
2023,1,2,5,10812.96808
2023,1,2,6,10574.39225
2023,1,2,7,10508.45048
2023,1,2,8,10571.42857
2023,1,2,9,10849.2731
2023,1,2,10,11100.44455
2023,1,2,11,11350.87509
2023,1,2,12,12311.10577
2023,1,2,13,12706.75638
2023,1,2,14,12839.38083
2023,1,2,15,12649.70563
2023,1,2,16,12515.59934
2023,1,2,17,12592.65489
2023,1,2,18,12842.34451
2023,1,2,19,13209.8402
2023,1,2,20,14065.60135
2023,1,2,21,14053.74665
2023,1,2,22,13907.04474
2023,1,2,23,13641.05491
2023,1,2,24,13550.66282
2023,1,3,1,13169.08967
2023,1,3,2,12518.56302
2023,1,3,3,12023.6293
2023,1,3,4,11574.63254
2023,1,3,5,11167.86816
2023,1,3,6,10915.95579
2023,1,3,7,10769.99479
2023,1,3,8,10834.45472
2023,1,3,9,11149.34519
2023,1,3,10,11425.70788
2023,1,3,11,11633.90604
2023,1,3,12,12457.06676
2023,1,3,13,13142.4166
2023,1,3,14,13469.90268
2023,1,3,15,13712.18311
2023,1,3,16,13564.74028
2023,1,3,17,13624.01378
2023,1,3,18,13664.76431
2023,1,3,19,13742.56078
2023,1,3,20,14342.70495
2023,1,3,21,14457.54736
2023,1,3,22,14193.03937
2023,1,3,23,14000.4005
2023,1,3,24,13875.18523
2023,1,4,1,13485.46197
2023,1,4,2,12817.15327
2023,1,4,3,12337.03793
2023,1,4,4,11654.65177
2023,1,4,5,11276.78321
2023,1,4,6,10981.15663
2023,1,4,7,10976.71112
2023,1,4,8,11109.33558
2023,1,4,9,11536.10477
2023,1,4,10,12510.41291
2023,1,4,11,13318.75526
2023,1,4,12,14530.89831
2023,1,4,13,15114.74228
2023,1,4,14,15234.77112
2023,1,4,15,15004.34539
2023,1,4,16,15065.84164
2023,1,4,17,15077.69634
2023,1,4,18,14986.56334
2023,1,4,19,15236.99387
2023,1,4,20,15440.00561
2023,1,4,21,15348.8726
2023,1,4,22,15151.78822
2023,1,4,23,14859.86623
2023,1,4,24,14600.54468
2023,1,5,1,14126.35668
2023,1,5,2,13385.43794
2023,1,5,3,12726.02027
2023,1,5,4,11998.43806
2023,1,5,5,11490.16781
2023,1,5,6,11273.81954
2023,1,5,7,11235.29176
2023,1,5,8,11417.55777
2023,1,5,9,12039.92951
2023,1,5,10,12739.3568
2023,1,5,11,13497.31667
2023,1,5,12,14465.69746
2023,1,5,13,14978.41323
2023,1,5,14,15039.16857
2023,1,5,15,15188.09324
2023,1,5,16,15179.94313
2023,1,5,17,15191.05691
2023,1,5,18,15199.94794
2023,1,5,19,15455.5649
2023,1,5,20,15763.04618
2023,1,5,21,15636.34907
2023,1,5,22,15534.84321
2023,1,5,23,15287.37635
2023,1,5,24,15023.60928
2023,1,6,1,14585.7263
2023,1,6,2,13809.24346
2023,1,6,3,13026.83327
2023,1,6,4,12241.45941
2023,1,6,5,11684.28852
2023,1,6,6,11527.95466
2023,1,6,7,11297.52894
2023,1,6,8,11400.51664
2023,1,6,9,12011.03368
2023,1,6,10,12856.42196
2023,1,6,11,13550.66282
2023,1,6,12,14499.03881
2023,1,6,13,14834.675
2023,1,6,14,14879.13012
2023,1,6,15,14801.33365
2023,1,6,16,14795.4063
2023,1,6,17,14805.03825
2023,1,6,18,14952.48108
2023,1,6,19,15113.26044
2023,1,6,20,15468.90144
2023,1,6,21,15191.05691
2023,1,6,22,14422.72418
2023,1,6,23,13915.19484
2023,1,6,24,13622.53194
2023,1,7,1,13237.99511
2023,1,7,2,12763.80712
2023,1,7,3,12325.92415
2023,1,7,4,11716.88894
2023,1,7,5,11197.50491
2023,1,7,6,10950.03805
2023,1,7,7,11024.12992
2023,1,7,8,11012.27522
2023,1,7,9,11204.17317
2023,1,7,10,11339.02039
2023,1,7,11,11370.13897
2023,1,7,12,12034.74308
2023,1,7,13,12630.44175
2023,1,7,14,13027.57419
2023,1,7,15,13035.7243
2023,1,7,16,12932.73659
2023,1,7,17,12687.49249
2023,1,7,18,12748.24783
2023,1,7,19,12903.09984
2023,1,7,20,13398.03356
2023,1,7,21,13426.92939
2023,1,7,22,13223.91766
2023,1,7,23,13103.88882
2023,1,7,24,13084.62493
2023,1,8,1,12865.31299
2023,1,8,2,12354.81998
2023,1,8,3,12056.22972
2023,1,8,4,11395.33021
2023,1,8,5,10888.54179
2023,1,8,6,10775.92214
2023,1,8,7,10607.73359
2023,1,8,8,10718.13048
2023,1,8,9,10932.256
2023,1,8,10,11337.53855
2023,1,8,11,11788.75806
2023,1,8,12,12548.94069
2023,1,8,13,13096.47963
2023,1,8,14,13383.95611
2023,1,8,15,13492.87116
2023,1,8,16,13467.67992
2023,1,8,17,13454.34339
2023,1,8,18,13475.08911
2023,1,8,19,13647.72318
2023,1,8,20,14133.02495
2023,1,8,21,14210.0805
2023,1,8,22,13970.76375
2023,1,8,23,13669.20982
2023,1,8,24,13612.9
2023,1,9,1,13310.60515
2023,1,9,2,12770.47539
2023,1,9,3,12338.51976
2023,1,9,4,11748.74845
2023,1,9,5,11308.64272
2023,1,9,6,11190.83664
2023,1,9,7,11077.47607
2023,1,9,8,11061.17586
2023,1,9,9,11335.31579
2023,1,9,10,11659.09728
2023,1,9,11,11974.72866
2023,1,9,12,12952.7414
2023,1,9,13,13421.00204
2023,1,9,14,13581.04049
2023,1,9,15,13481.75738
2023,1,9,16,13369.87865
2023,1,9,17,13295.04586
2023,1,9,18,13586.22692
2023,1,9,19,13804.05703
2023,1,9,20,14525.71188
2023,1,9,21,14443.4699
2023,1,9,22,14292.32248
2023,1,9,23,13996.6959
2023,1,9,24,13706.25576
2023,1,10,1,13404.70183
2023,1,10,2,12961.63242
2023,1,10,3,12464.47595
2023,1,10,4,11781.34887
2023,1,10,5,11508.69078
2023,1,10,6,11276.04229
2023,1,10,7,11208.61869
2023,1,10,8,11299.01077
2023,1,10,9,11462.75381
2023,1,10,10,11686.51127
2023,1,10,11,11914.71425
2023,1,10,12,12614.14154
2023,1,10,13,13136.48925
2023,1,10,14,13107.59342
2023,1,10,15,13224.65858
2023,1,10,16,13254.29533
2023,1,10,17,13360.98762
2023,1,10,18,13542.51272
2023,1,10,19,13937.4224
2023,1,10,20,14619.06764
2023,1,10,21,14730.94637
2023,1,10,22,14562.0169
2023,1,10,23,14344.18679
2023,1,10,24,14158.95711
2023,1,11,1,13709.96035
2023,1,11,2,13090.55228
2023,1,11,3,12450.39849
2023,1,11,4,11851.73615
2023,1,11,5,11327.9066
2023,1,11,6,11304.1972
2023,1,11,7,11205.65501
2023,1,11,8,11422.00328
2023,1,11,9,11879.15015
2023,1,11,10,12803.07581
2023,1,11,11,13837.39837
2023,1,11,12,15259.22143
2023,1,11,13,15662.28123
2023,1,11,14,15706.73635
2023,1,11,15,15563.73904
2023,1,11,16,15470.38328
2023,1,11,17,15462.23317
2023,1,11,18,15465.93776
2023,1,11,19,15397.77324
2023,1,11,20,15611.89875
2023,1,11,21,15708.21819
2023,1,11,22,15377.76843
2023,1,11,23,15032.5003
2023,1,11,24,14702.79146
2023,1,12,1,14271.57676
2023,1,12,2,13595.11795
2023,1,12,3,12986.08274
2023,1,12,4,12260.7233
2023,1,12,5,11827.28583
2023,1,12,6,11750.23029
2023,1,12,7,11784.31255
2023,1,12,8,11853.21799
2023,1,12,9,12336.29701
2023,1,12,10,13271.33646
2023,1,12,11,14160.43894
2023,1,12,12,15157.71557
2023,1,12,13,15644.49918
2023,1,12,14,15439.26469
2023,1,12,15,15388.1413
2023,1,12,16,15433.33734
2023,1,12,17,15464.45593
2023,1,12,18,15799.3512
2023,1,12,19,15547.43882
2023,1,12,20,15833.43346
2023,1,12,21,15908.26625
2023,1,12,22,15757.11883
2023,1,12,23,15388.1413
2023,1,12,24,15154.75189
2023,1,13,1,14588.68998
2023,1,13,2,13906.30382
2023,1,13,3,13223.91766
2023,1,13,4,12550.42252
2023,1,13,5,12134.02619
2023,1,13,6,11989.54704
2023,1,13,7,11952.5011
2023,1,13,8,12053.26605
2023,1,13,9,12629.70083
2023,1,13,10,13553.6265
2023,1,13,11,14384.1964
2023,1,13,12,15429.63274
2023,1,13,13,15900.11614
2023,1,13,14,15940.86667
2023,1,13,15,15802.31487
2023,1,13,16,15783.05098
2023,1,13,17,15777.12363
2023,1,13,18,15726.00024
2023,1,13,19,15799.3512
2023,1,13,20,16146.84208
2023,1,13,21,16098.68237
2023,1,13,22,15741.55953
2023,1,13,23,15322.94045
2023,1,13,24,15130.30157
2023,1,14,1,14571.64884
2023,1,14,2,13980.39569
2023,1,14,3,13270.59554
2023,1,14,4,12786.03468
2023,1,14,5,12237.0139
2023,1,14,6,11990.28796
2023,1,14,7,12028.81573
2023,1,14,8,12134.02619
2023,1,14,9,12629.70083
2023,1,14,10,13592.89519
2023,1,14,11,14242.68092
2023,1,14,12,15295.52645
2023,1,14,13,15384.4367
2023,1,14,14,15337.0179
2023,1,14,15,15102.14666
2023,1,14,16,14965.0767
2023,1,14,17,14943.59005
2023,1,14,18,15017.68193
2023,1,14,19,15118.44687
2023,1,14,20,15607.45324
2023,1,14,21,15718.59105
2023,1,14,22,15427.40999
2023,1,14,23,15242.92122
2023,1,14,24,15189.57507
2023,1,15,1,14762.80588
2023,1,15,2,14137.47046
2023,1,15,3,13458.04798
2023,1,15,4,12902.35893
2023,1,15,5,12616.36429
2023,1,15,6,12241.45941
