WEO techs,Originally present,Preferred name,PLEXOS technology,Gets capacity from,process,notes,Product,Flow,Product2,Flow2,Product3,Flow3,Classification,EfficiencyProductSource,EfficiencyFlowSource,merge
Battery distributed,,Battery distributed,Battery_distributed,Battery storage minus battery utility,subtract,,Battery storage,Electrical capacity,Battery storage: utility scale,Electrical capacity,,,Battery,Battery storage,Electrical capacity,1
Battery utility 1h,,Battery utility 1h,Battery_utility_1h,Battery storage: utility scale 1-hour,direct,,Battery storage: utility scale 1-hour,Electrical capacity,,,,,Battery,Battery storage: utility scale 1-hour,Electrical capacity,1
Battery utility 2h,,Battery utility 2h,Battery_utility_2h,Battery storage: utility scale 2-hour,direct,,Battery storage: utility scale 2-hour,Electrical capacity,,,,,Battery,Battery storage: utility scale 2-hour,Electrical capacity,1
Battery utility 4h,,Battery utility 4h,Battery_utility_4h,Battery storage: utility scale 4-hour,direct,,Battery storage: utility scale 4-hour,Electrical capacity,,,,,Battery,Battery storage: utility scale 4-hour,Electrical capacity,1
Battery utility 8h,,Battery utility 8h,Battery_utility_8h,Battery storage: utility scale 8-hour,direct,,Battery storage: utility scale 8-hour,Electrical capacity,,,,,Battery,Battery storage: utility scale 8-hour,Electrical capacity,1
Biogases,Y,Biogases,Biogases,Biogas,direct,,Biogas,Electrical capacity,,,,,Bioenergy,Biogas,Electrical capacity,1
Biomass CHP Medium,Y,Biomass CHP Medium,Biomass_CHP_Medium,Bioenergy medium-sized CHP,direct,,Bioenergy medium-sized,Electrical capacity: CHP plants,,,,,Bioenergy,Bioenergy medium-sized,Electrical capacity: CHP plants,1
Biomass CHP Small,Y,Biomass CHP Small,Biomass_CHP_Small,Bioenergy small - DG Industry CHP,direct,,Bioenergy small - DG Industry,Electrical capacity: CHP plants,,,,,Bioenergy,Bioenergy small - DG Industry,Electrical capacity: CHP plants,1
Biomass IGCC with CCS,Y,Biomass IGCC with CCS,Biomass_IGCC_with_CCS,Bioenergy IGCC fitted with CCUS,direct,,Bioenergy IGCC fitted with CCUS,Electrical capacity: electricity only plants,,,,,Bioenergy,Bioenergy IGCC fitted with CCUS,Electrical capacity: electricity only plants,1
Biomass Medium,Y,Biomass Power Plant,Biomass_Power_Plant,Bioenergy medium-sized,direct,,Bioenergy medium-sized,Electrical capacity: electricity only plants,,,,,Bioenergy,Bioenergy medium-sized,Electrical capacity: electricity only plants,1
NEW CCS Coal,Y,Coal CCS,Coal_CCS,Coal conventional with CCUS,direct,,Coal conventional with CCUS,Electrical capacity: electricity only plants,,,,,Coal,Coal conventional with CCUS,Electrical capacity: electricity only plants,1
CHP Coal,Y,Coal CHP,Coal_CHP,Coal and ammonia CHP,direct,,Coal and ammonia,Electrical capacity: CHP plants,,,,,Coal,Coal and ammonia,Electrical capacity: CHP plants,1
CHP CCS Coal,Y,Coal CHP CCS,Coal_CHP_CCS,,### NOT INTEGRATED TO SCRIPT NEEDS TO BE DONE,,Coal: with CCUS,Electrical capacity: CHP plants,,,,,,Coal: with CCUS,Electrical capacity: CHP plants,1
